tmin,tmean,tmax
-6.416554715155332600e-01,-3.472436180956013363e-01,1.184259275799327549e+00
3.990033476391560807e+00,4.088891847771900068e+00,5.894686045556573717e+00
3.209584387332675703e-01,4.829004427986428816e+00,4.966115616821840106e+00
-4.104490840768113102e+00,2.916057743712419104e-01,4.218960449025654924e+00
1.367691476526157413e+00,2.210484963899484789e+00,7.008044334895357608e+00
-2.304264835459288729e+00,1.108115551207322635e+00,4.365602233248687014e+00
4.131970159849986501e+00,5.948405973542830516e+00,8.362089694768812365e+00
2.965035743729088402e+00,5.842128100303686011e+00,7.495250281905724066e+00
-3.037963071707040719e+00,1.115897750617239836e+00,1.383487629510562034e+00
1.331895341765779506e+00,4.433620646549021771e+00,6.329891381025049668e+00
5.978955943821032903e+00,6.885526301139182515e+00,1.014310639961305682e+01
9.595997884774885023e-01,2.289629545455785564e+00,4.402102600508920105e+00
-9.407230151221682712e-01,-9.670989178308087020e-02,1.772505382427069343e+00
4.289818015254492245e+00,7.128920615023814022e+00,8.588196665220175774e+00
7.865107738891847333e+00,7.961364223987426492e+00,1.163910495172718207e+01
1.627894491829379842e+00,3.678439819971298874e+00,5.335032553109797959e+00
6.194143357242408499e+00,7.770835644125394737e+00,1.086258088179545389e+01
-2.339767794207284535e+00,6.187272823859246706e-01,2.277166934027516021e+00
1.560964162828303969e+00,3.860238497299958826e+00,7.472382126484608200e+00
-3.809102998134683560e+00,7.237659680584007660e-01,2.946108819524111855e+00
8.767966710340111547e-01,4.964160040803986540e+00,8.815750984984660477e+00
3.028866959628301103e+00,5.506366255200172866e+00,9.086850869450129764e+00
6.731982750820694861e+00,8.061102374033435325e+00,1.085157176692415604e+01
1.004058590329329537e+00,4.931196812672155261e+00,5.343646310562649049e+00
3.952792302578175487e+00,6.349140102739868396e+00,7.669463736748479477e+00
-4.759757623554715877e+00,-4.065425758341098650e+00,-1.110969849468878223e+00
-2.105385394393092469e+00,3.131067380986536364e-01,4.500635925805820392e+00
8.861753263817188753e+00,9.893598816745013735e+00,1.074111936725468119e+01
7.899881589238880508e+00,8.140977217337191263e+00,9.239470065550605682e+00
-1.472407511539759017e+00,-8.643780630280950561e-02,4.592345010028150654e+00
-4.700814779894171735e+00,-9.397585367937182355e-01,1.713038118817078903e+00
4.094724933518175014e+00,5.311126185921638765e+00,8.516133038263513200e+00
1.862221287420784632e+00,3.535722943230236393e+00,7.238714657781860851e+00
1.798298285065115465e+00,1.979722081527896194e+00,4.687622150886049610e+00
4.100976040882756912e+00,7.347282566711959895e+00,1.022406793988973561e+01
8.736567848249039869e+00,1.128299698060079947e+01,1.207746895665379583e+01
2.177831982892118212e+00,7.165517087488383119e+00,1.110702724758473536e+01
6.898997902609558253e-01,4.751931884272718065e+00,6.497030836262826625e+00
4.344758903110677473e+00,8.322804940171138810e+00,9.637022000250556886e+00
9.292766048494575770e+00,1.113108292511089203e+01,1.515066290496488577e+01
4.341206742364521531e+00,8.040206736346561911e+00,1.086318681155849042e+01
3.703983102809402794e+00,4.674661979816681523e+00,5.649855823820928435e+00
6.580592577983384928e+00,9.265211090795192561e+00,1.418283396640072880e+01
7.855714966315937353e+00,1.158922738350143966e+01,1.253244807393324400e+01
3.621734852998241383e+00,4.720772943155537860e+00,7.771200554496608959e+00
2.323059560038346127e+00,3.928074206329181806e+00,6.485614776702757212e+00
5.716931126833196153e+00,6.040010425755570012e+00,1.046510227040373486e+01
3.495355897849270477e-01,3.880771075910171675e+00,6.515943251469650477e+00
5.120863448983230093e+00,8.201766186617092558e+00,9.545504919455709114e+00
6.951892638742833697e-01,4.464868885834624379e+00,4.942634547729396921e+00
-6.283521013006634348e-01,4.333762787175669651e+00,8.220035324593112591e+00
2.137902728155712584e+00,5.682081656963587690e+00,6.011140999749851055e+00
9.148007430848100086e+00,9.963508827129002654e+00,1.370085767346759908e+01
8.176849079374477469e-01,5.204391502277053050e+00,6.643944682338059238e+00
6.848332372830808978e+00,8.771530949266288957e+00,1.324015037485579782e+01
1.090590231950856470e+00,6.088010534457591660e+00,7.643814744342340539e+00
7.455484804179530300e+00,1.020103051444662690e+01,1.296431468335100412e+01
4.859624379139107830e+00,8.859041798499385223e+00,1.235112056240354939e+01
8.510644350714322570e+00,9.560048172846956405e+00,1.441922339657044461e+01
1.074590008097758087e+01,1.118193929270226583e+01,1.496710708447477955e+01
7.261845107001727584e+00,1.168468637590286718e+01,1.314007461510707664e+01
6.861249233345977139e+00,1.021995412597836861e+01,1.027174404299296917e+01
1.274884091473367675e+00,1.804987871441515068e+00,5.212613095925246576e+00
2.665660119337046385e+00,2.948978025437179795e+00,3.637571788982708831e+00
5.138794987572145700e+00,6.444835171672607999e+00,9.798832903123511073e+00
7.328732288131437400e+00,9.198349262979835572e+00,1.325545467185897763e+01
4.856890085351671438e+00,8.690653022040285336e+00,1.021079626471429158e+01
9.993057180362338698e+00,1.114878197967563267e+01,1.325781525283482765e+01
1.297311499281925329e+01,1.297375120452587538e+01,1.778328591662570801e+01
3.151072477986618381e-01,4.564402543544971103e+00,6.931688922689550836e+00
4.126808034476029619e+00,8.469246389532184338e+00,1.120613612837081874e+01
4.267384933232447608e-01,3.974660449061952150e+00,4.359912276190184954e+00
9.315362740281532439e+00,9.328826876244097122e+00,9.447020238040863660e+00
6.715751900872339419e+00,7.987832872376200655e+00,1.148286525387180923e+01
8.808990672513836273e+00,1.002725519615443872e+01,1.443376216056561745e+01
4.768580012022065162e+00,9.240155452674855496e+00,1.210969299061787829e+01
9.376332438583142803e+00,1.152051715573895052e+01,1.480695873394242668e+01
-2.873413970573750476e+00,1.934446610423462332e+00,2.397270742835759805e+00
7.975827594151521538e+00,9.864776016063744990e+00,1.141548304518186008e+01
7.659485202574829010e+00,1.170276020705022724e+01,1.260222083933478210e+01
3.132916555999072816e+00,3.464448089198169711e+00,7.218033034600008335e+00
4.910079398164752362e+00,8.385705764387092032e+00,9.061993091965469205e+00
7.949322253649201642e+00,9.734796152526127955e+00,1.007958735164443986e+01
1.206759626807725994e+01,1.358012594156758723e+01,1.709859891127947051e+01
7.210640054116102426e+00,1.058871145367103495e+01,1.253815198497704131e+01
1.284394989029385492e+01,1.316981764382274278e+01,1.525679898515645405e+01
5.431512734598178405e+00,9.590200320042244542e+00,1.035899556203624172e+01
7.956332967713167115e+00,1.030342036572934106e+01,1.296650568649680402e+01
1.101404368213602503e+01,1.257694052955840469e+01,1.576842104193161376e+01
1.145770076594457088e+01,1.441458943097092771e+01,1.539614880149678022e+01
1.050876454052442455e+01,1.404299392608622199e+01,1.500597236107957855e+01
1.373800383407282766e+01,1.567430964092422485e+01,1.688356875208215868e+01
6.194185584244991105e+00,9.973013596371069767e+00,1.004285938013964063e+01
8.012620294659024367e+00,1.070458924220604757e+01,1.305497922141702993e+01
8.865410450002524811e+00,1.134575934394622188e+01,1.291228296236707607e+01
2.356433037745637726e+00,6.045059269783921607e+00,6.474231679503251513e+00
6.453038460632328110e+00,1.028446268446809064e+01,1.310447906565440768e+01
1.074095683813825453e+01,1.333722812947638126e+01,1.529537265747213226e+01
5.565422695609367310e+00,7.651667054037087468e+00,8.859115525511569444e+00
6.823186311907569745e+00,9.584942720608529143e+00,1.063711368823694059e+01
8.416099535008467747e-01,4.520015759421686319e+00,4.601420551003140957e+00
1.113419553883996116e+01,1.337418498612359308e+01,1.449958111153531704e+01
8.315732442083730191e+00,1.146418256205074826e+01,1.601806542927338484e+01
9.435606213134088094e+00,1.111104856625176396e+01,1.126096853081398130e+01
9.395616955561541417e+00,1.337396411660051854e+01,1.655499952024100097e+01
5.475035204861533167e+00,8.407935210780369317e+00,1.068428334761544818e+01
1.348471671510473868e+01,1.411461686760244305e+01,1.705287219994684733e+01
7.258074547583225566e+00,1.095198225174866913e+01,1.108539310895958607e+01
1.352142662442423759e+00,4.692746729255305560e+00,4.892928880046335749e+00
9.155963941982383503e+00,9.334657619444612919e+00,1.426059341527090041e+01
5.162272084834633290e+00,7.583078632592718193e+00,9.597276439215235655e+00
7.553738605723823163e+00,9.830867477137338994e+00,1.427036407721321254e+01
1.119203965408615353e+01,1.122000469309911708e+01,1.269830577544963290e+01
4.653111945586935860e+00,6.690356549917467532e+00,9.757757321884550805e+00
6.354779979764935582e+00,7.928742246413888140e+00,1.275279126137984242e+01
6.858582616071620564e+00,8.019641290635396658e+00,8.674268423088243196e+00
8.437936414598684820e+00,1.241724131623167082e+01,1.617332332671988127e+01
4.722564627937321902e+00,7.743329378392059148e+00,1.017779229227128646e+01
8.798019465062633770e+00,1.084623560294994959e+01,1.327245660864844190e+01
1.255955825661174607e+01,1.327172773322871180e+01,1.385281226588033832e+01
4.513905219632401433e+00,8.105825453178566065e+00,1.298818304100295506e+01
6.985717602143621363e+00,8.325126922266701257e+00,1.243169011643902344e+01
6.549717531265650372e+00,8.507112396753742090e+00,1.135250798491862234e+01
6.087890985667804955e+00,6.860717645047788693e+00,1.182575192098233607e+01
9.988572407955340182e+00,1.015804376870057979e+01,1.362833683529355966e+01
2.348051926226195185e+00,5.503422835523691603e+00,6.327191525187325638e+00
3.881861479227923795e+00,8.583396202098725780e+00,9.937605841813679675e+00
-1.467304784925831385e-01,1.699250895517849358e+00,3.015077841590370067e+00
