stationid	new_part	shahrestan	subbasin_i	Longitude	Latitude	new_elevation
1	1	0	512	57.36666667	33.71666667	1131
2	1	280	459	59.23333333	33.33333333	1665
3	1	74	469	57.51	33.28	1366
4	1	431	507	56.93	34.35	774
5	1	270	511	58.38333333	34.11666667	1821
6	1	224	571	58.730556	33.961944	1698
7	1	0	472	59.01666667	32.88333333	1376
8	1	80	460	56.83	32.98	904
17934	1	0	0	57.4046	36.6389	1134
17937	1	0	0	58.0291	36.4027	1215
17938	1	0	0	56.9237	36.3148	895
17944	1	0	0	51.55	30.69	1795
17945	2	0	0	50.41	30.96	713
18011	1	0	0	47.38	39.41	190
18018	2	28	9	44.77	39.21	997
18026	2	351	0	46.782904	39.051847	329
18035	2	350	4	45.688724	38.832269	1054
18036	2	24	5	45.2203972	38.7208139	965
18038	2	346	0	47.37	38.85	1059
18039	2	320	0	47.5333	38.6833	678
18041	2	24	8	44.845437	38.57237	1292
18042	1	0	0	61.0128746	28.57001877	2180
18052	2	0	0	48.62106323	38.40277481	798
18054	2	353	331	45.351183	38.340119	1443
18064	2	353	332	45.487985	38.174489	1298
18066	2	238	36	56.66	38.18	904
18082	2	417	37	55.72	37.9	151
18084	2	315	2	48.5583	38.0	2510
18087	2	21	314	45.22	37.03	1402
18097	2	345	326	46.114839	37.911986	1521
18102	2	238	38	56.92	37.94	986
18105	2	236	38	57.49	37.9	1472
18112	2	1	332	45.37	37.79	1262
18113	2	344	325	45.98	37.75	1403
18116	2	422	35	54.91	37.75	59
18118	1	20	17	46.9333	37.7167	1928
18120	2	239	42	57.95	37.71	1644
18123	2	241	40	56.9925	37.645556	646
18131	2	404	13	48.78944778	37.62443161	1702
18134	2	419	33	55.7	37.37	526
18143	2	408	38	49.19003677	37.57646179	-27
18152	2	361	17	47.045508	37.464135	1662
18153	2	241	40	56.86	37.51	874
18162	1	183	377	51.63492203	31.93537712	2069
18166	2	236	41	57.32	37.47	1071
18168	2	236	38	57.64	37.42	1339
18172	2	20	309	45.075556	37.425	1399
18181	2	416	33	55.4	37.42	78
18193	2	416	33	55.78	37.57	531
18205	1	0	0	49.1258049	37.35578156	69
18209	2	356	322	46.245629	37.390562	1473
18210	1	242	34	56.32	37.35	1282
18213	1	237	536	56.88	37.34	1329
18219	2	403	14	49.32884598	37.29544449	0
18221	2	394	15	49.92888641	37.28608322	-10
18224	1	242	34	56.0013	37.3056	1015
18226	2	356	317	46.45	37.28	1721
18231	2	397	14	49.52125168	37.27051544	6
18235	2	405	14	49.31713104	37.23251724	26
18245	2	407	26	50.15848923	37.18299103	-28
18253	2	401	26	49.91963196	37.13684082	59
18254	2	0	26	57.7687	37.1356	1748
18255	2	410	33	54.6	37.13	7
18260	1	237	535	56.85	37.11	974
18261	2	395	26	50.1692009	37.09685516	-28
18269	2	6	18	48.0365	37.0708	1319
18270	1	359	19	47.77	37.05	1167
18274	1	130	34	55.77	37.03	1449
18275	1	235	535	57.14	37.05	1004
18280	1	0	33	54.4331	37.0167	15
18285	2	8	16	48.7808	36.989	502
18286	2	413	33	55.13	36.99	282
18288	1	0	315	45.15	36.98	1437
18301	2	420	33	54.57	36.9	46
18314	2	9	19	47.4247	36.8737	1752
18317	2	100	27	50.73	36.85	26
18320	2	30	316	45.74	36.86	1292
18323	2	6	18	48.1857	36.8493	1409
18326	2	420	33	54.33	36.84	77
18332	2	98	19	50.9	36.81	-26
18333	2	8	16	49.1016	36.7979	342
18339	2	411	32	54.03	36.77	-8
18363	1	235	537	57.92	36.7	1228
18365	1	363	18	48.4	36.68	1589
18367	1	0	24	49.52593231	36.61977005	363
18378	2	127	542	55.07	36.63	1449
18389	1	0	0	53.816	36.5669	1458
18391	1	0	0	47.12	36.36	1920
18396	1	130	538	55.88	36.6	979
18409	2	9	19	47.6217	36.5513	1581
18410	2	0	0	51.3	36.231	1901
18417	2	7	18	48.7587	36.5313	1757
18420	2	95	29	52.716667	36.35	155
18424	1	130	526	56.68	36.52	1147
18430	2	111	28	52.015	36.48333	215
18435	2	127	542	54.64	36.48	2056
18437	2	127	542	55	36.48	1418
18439	1	268	530	58.7	36.483333	1748
18451	1	0	18	48.79	36.44	1786
18454	1	0	20	48.27	36.42	1716
18464	1	0	538	46.1038475	36.38465881	1526
18480	2	66	320	46.66523743	36.35828018	1637
18481	2	62	19	47.75157928	36.28406143	1670
18486	2	2	339	49.0609	36.319	1731
18488	1	0	0	52.553	36.333	221
18496	2	3	20	48.0707	36.2983	1467
18506	2	101	31	53.783333	36.26667	1438
18514	2	121	338	49.9499	36.2537	1282
18515	2	4	20	48.5551	36.2424	1777
18541	2	2	339	49.2	36.14	1575
18545	2	116	338	50.3	36.13	1237
18546	1	0	338	46.06253052	36.18226242	1630
18554	2	311	24	50.68	36.13	2209
18556	2	116	338	50.17	36.15	1220
18572	2	400	26	50.23836136	36.88938522	757
18577	1	124	539	54.12	36.05	1186
18581	2	116	338	50.38	36.07	1214
18589	2	4	21	48.0836	36.0448	1584
18590	2	313	365	51.19	36.04	1899
18592	2	313	368	51.43	36.03	3280
18593	2	313	365	51.42	36.05	2754
18607	1	260	365	51.35	35.967	2262
18610	1	0	0	51.50195694	35.95699692	2281
18611	2	66	321	46.34280777	35.95693588	1836
18622	2	310	365	50.85578	35.918762	1467
18640	2	64	23	47.07281113	35.87383652	1736
18668	1	121	539	51.62801361	35.73800659	1611
18694	1	127	525	56.6	35.77	968
18698	1	0	0	51.83409119	35.75335312	1919
18699	1	0	21	48.4794	35.7514	1748
18703	2	312	365	50.96	35.76	1269
18712	1	309	336	50.37	35.72	1182
18719	1	129	496	53.35	35.73	1726
18728	2	62	22	47.79846954	35.67378998	1659
18738	2	40	367	52.09083939	35.66130066	1982
18742	1	249	531	59.35	35.65	1737
18744	2	67	52	47.12376022	35.67248154	2091
18753	2	63	22	47.35755539	35.62540054	2008
18758	1	127	525	56.78	35.6	1154
18761	2	42	365	51.66	35.57	1360
18783	2	428	348	48.45	35.49	1800
18788	2	428	22	48.01	35.45	1999
18793	1	50	366	51.68154144	35.48368454	1024
18797	1	125	495	53.18	35.47	1159
18805	2	0	343	51.24482727	35.68830872	1201
18811	2	426	347	49.28	35.35	1967
18822	1	131	497	52.42	35.25	928
18828	2	65	50	46.37398911	35.29410934	1173
18833	2	63	22	47.31554794	35.32175827	1866
18839	2	0	605	59.87	35.48	1792
18840	2	67	50	46.67586517	35.25597382	1687
18847	2	65	50	46.32213211	35.22796249	929
18859	1	124	493	54.57	35.23	896
18867	2	68	22	47.49342346	35.17602539	1853
18883	2	233	49	46.33	35.03	1468
18885	2	69	53	47.14980698	35.05967331	1643
18889	1	267	514	58.7	34.93	870
18890	1	243	606	60.52	35.0	1128
18891	1	257	519	59.62	34.97	1144
18895	2	424	349	48.45	34.9	1722
18908	2	0	359	45.5	34.49	500
18910	2	227	53	47.18	34.81	2144
18916	2	423	349	48.18	34.83	2230
18920	2	431	349	48.48	34.8	1844
18934	1	122	344	50.49914551	34.75532532	1026
18946	1	122	358	50.9021759	34.67963409	921
18948	2	92	350	49.22503281	34.62152863	1663
18952	2	0	0	48.299	34.635	1795
18955	1	122	359	50.75078964	34.57733536	1017
18956	1	122	358	50.91280746	34.58060837	912
18958	1	122	344	50.20859146	34.56614304	1873
18968	2	230	91	46.6	34.33	1578
18969	1	122	358	50.98867416	34.50292206	940
18981	2	228	96	47.7	34.47	1348
18986	2	230	88	47.05	34.4	1304
18993	1	0	0	45.5331	34.3833	280
18994	2	230	88	47.11	34.35	1304
18999	1	0	0	50.51968765	34.33081436	1267
19000	2	224	47	46.42	34.33	1470
19003	1	278	507	56.93427277	34.36235046	770
19010	2	230	91	46.85	34.28	1368
19011	2	230	88	47.02	34.28	1576
19018	2	224	85	46.23	34.28	1534
19026	1	270	517	58.65	34.15	1607
19037	2	90	351	49.37465668	34.15137482	1843
19041	1	276	457	58.3877449	34.11984634	1830
19044	2	230	91	47.08	34.1	1488
19048	1	174	364	51.46553421	34.03980255	912
19053	2	234	81	46.33	34.02	1526
19060	2	0	0	49.92827988	34.00499725	1723
19065	1	278	460	56.84573746	32.99773407	857
19068	2	221	82	46.77	33.92	1285
19097	2	83	352	49.74064255	33.8171196	2218
19100	1	190	364	51.22307968	33.77971649	2090
19118	1	195	545	52.01530457	33.68447876	998
19120	1	271	512	57.36587143	33.71258926	1143
19123	2	173	81	46.80610657	33.66698074	921
19131	1	195	545	51.67984772	33.59477997	1871
19136	1	195	545	51.58716583	33.59105682	2284
19149	1	175	543	52.21859741	33.53159332	999
19156	1	175	543	52.47687149	33.43976593	1002
19163	2	171	63	46.5971756	33.41001129	1429
19173	2	173	547	53.69296265	33.30897522	1478
19176	1	182	505	55.09893036	33.33739471	920
19178	1	280	570	59.23479843	33.33189392	1659
19183	1	176	370	51.68	32.7	1565
19184	2	167	80	47.03250504	33.30578613	1064
19185	1	278	469	57.51823044	33.29837799	1343
19198	1	0	0	49.81866837	33.02104187	2457
19199	2	178	362	51.09595108	33.0602417	1861
19205	1	194	372	50.97	33.08	1961
19208	2	178	380	50.16722488	33.07707596	2412
19211	2	187	381	50.35080719	33.0574913	2387
19222	2	169	64	46.88879776	33.00798416	752
19229	2	0	0	50.83944	32.29222	2040
19243	1	193	548	52.73974609	32.86116791	2206
19245	2	337	378	50.74	32.54	2187
19251	1	273	472	59.01914597	32.87698746	1383
19253	2	286	136	48.50711823	32.78806305	438
19254	2	196	384	51.68730927	32.80556488	1574
19256	2	187	380	50.43589401	32.79026031	2126
19261	1	273	472	58.89677429	32.78532028	1316
19262	1	273	491	58.91952515	32.21130753	1238
19263	1	277	577	60.49433517	32.29317474	1166
19265	2	0	383	52.45166779	32.71728897	1805
19267	1	185	370	51.49472046	32.77770615	1726
19281	2	196	383	50.68466949	32.71089172	2079
19298	2	0	553	50.2526	32.555	2676
19299	1	176	385	52.33	32.33	1518
19300	2	339	129	50.69	32.32	2108
19305	2	295	136	48.83208847	32.49784088	483
19344	1	11	565	55.52	32.31	1403
19350	2	341	128	50.29	32.17	1990
19352	1	11	550	54.03	32.29	1049
